task   id   group   session   trial   condition   trialxcondition   perceived_liking   perceived_familiarity   perceived_intensity
hedonicreactivity   105   control   second   32    MilkShake   16   6.923077e+01   8.461538e+01   8.736264e+01
hedonicreactivity   105   control   second   33    Empty   17   5.769231e+01   5.302198e+01   6.785714e+01
hedonicreactivity   105   control   second   34    MilkShake   17   7.802198e+01   8.489011e+01   8.379121e+01
hedonicreactivity   105   control   second   35    Empty   18   5.494505e+01   5.247253e+01   6.785714e+01
hedonicreactivity   105   control   second   36    MilkShake   18   7.912088e+01   8.159341e+01   8.434066e+01
hedonicreactivity   105   control   second   37    MilkShake   19   6.978022e+01   6.923077e+01   5.714286e+01
hedonicreactivity   105   control   second   38    Empty   19   5.796703e+01   4.065934e+01   6.758242e+01
hedonicreactivity   105   control   second   39    Empty   20   4.752747e+01   3.379121e+01   6.923077e+01
hedonicreactivity   105   control   second   40    MilkShake   20   6.620879e+01   50   7.554945e+01
hedonicreactivity   106   control   second   1    MilkShake   1   5.439560e+01   7.307692e+01   5.467033e+01
hedonicreactivity   106   control   second   2    Empty   1   50   8.901099e+01   2.362637e+01
hedonicreactivity   106   control   second   3    Empty   2   4.697802e+01   7.774725e+01   4.010989e+01
hedonicreactivity   106   control   second   4    MilkShake   2   5.521978e+01   7.225275e+01   5.604396e+01
hedonicreactivity   106   control   second   5    MilkShake   3   5.961538e+01   7.115385e+01   5.412088e+01
hedonicreactivity   106   control   second   6    Empty   3   50   6.785714e+01   4.587912e+01
hedonicreactivity   106   control   second   7    MilkShake   4   5.961538e+01   7.362637e+01   5.467033e+01
hedonicreactivity   106   control   second   8    Empty   4   4.670330e+01   5.906593e+01   4.670330e+01
hedonicreactivity   106   control   second   9    MilkShake   5   5.961538e+01   6.510989e+01   5.439560e+01
hedonicreactivity   106   control   second   10    Empty   5   50   6.016484e+01   3.956044e+01
hedonicreactivity   106   control   second   11    Empty   6   4.560440e+01   6.071429e+01   4.505495e+01
hedonicreactivity   106   control   second   12    MilkShake   6   5.934066e+01   6.291209e+01   6.373626e+01
hedonicreactivity   106   control   second   13    Empty   7   4.835165e+01   5.879121e+01   3.791209e+01
hedonicreactivity   106   control   second   14    MilkShake   7   6.016484e+01   6.648352e+01   5.906593e+01
hedonicreactivity   106   control   second   15    MilkShake   8   6.208791e+01   6.291209e+01   6.401099e+01
hedonicreactivity   106   control   second   16    Empty   8   4.368132e+01   6.428571e+01   3.598901e+01
hedonicreactivity   106   control   second   17    MilkShake   9   6.016484e+01   6.016484e+01   5.549451e+01
hedonicreactivity   106   control   second   18    Empty   9   4.038462e+01   5.659341e+01   3.434066e+01
hedonicreactivity   106   control   second   19    Empty   10   3.846154e+01   6.318681e+01   4.615385e+01
hedonicreactivity   106   control   second   20    MilkShake   10   5.796703e+01   5.796703e+01   5.439560e+01
hedonicreactivity   106   control   second   21    Empty   11   4.230769e+01   6.538462e+01   4.038462e+01
hedonicreactivity   106   control   second   22    MilkShake   11   50   6.401099e+01   5.686813e+01
hedonicreactivity   106   control   second   23    MilkShake   12   5.659341e+01   5.879121e+01   5.604396e+01
hedonicreactivity   106   control   second   24    Empty   12   4.148352e+01   5.796703e+01   3.681319e+01
hedonicreactivity   106   control   second   25    Empty   13   3.021978e+01   5.631868e+01   3.956044e+01
hedonicreactivity   106   control   second   26    MilkShake   13   5.631868e+01   5.576923e+01   50
hedonicreactivity   106   control   second   27    MilkShake   14   5.302198e+01   5.329670e+01   5.439560e+01
hedonicreactivity   106   control   second   28    Empty   14   2.664835e+01   5.549451e+01   3.049451e+01
hedonicreactivity   106   control   second   29    MilkShake   15   50   5.906593e+01   50
hedonicreactivity   106   control   second   30    Empty   15   2.802198e+01   5.439560e+01   3.351648e+01
hedonicreactivity   106   control   second   31    MilkShake   16   4.560440e+01   6.043956e+01   5.274725e+01
hedonicreactivity   106   control   second   32    Empty   16   3.901099e+01   7.005495e+01   3.571429e+01
hedonicreactivity   106   control   second   33    Empty   17   2.719780e+01   5.412088e+01   5.329670e+01
hedonicreactivity   106   control   second   34    MilkShake   17   50   5.467033e+01   5.384615e+01
hedonicreactivity   106   control   second   35    Empty   18   2.362637e+01   5.934066e+01   5.384615e+01
hedonicreactivity   106   control   second   36    MilkShake   18   4.752747e+01   5.934066e+01   4.560440e+01
hedonicreactivity   106   control   second   37    Empty   19   3.489011e+01   6.016484e+01   50
hedonicreactivity   106   control   second   38    MilkShake   19   50   5.549451e+01   50
hedonicreactivity   106   control   second   39    MilkShake   20   4.917582e+01   5.439560e+01   50
hedonicreactivity   106   control   second   40    Empty   20   3.901099e+01   6.263736e+01   3.543956e+01
hedonicreactivity   107   control   second   1    MilkShake   1   7.417582e+01   8.241758e+01   6.675824e+01
hedonicreactivity   107   control   second   2    Empty   1   3.543956e+01   5.906593e+01   3.653846e+01
hedonicreactivity   107   control   second   3    MilkShake   2   7.747253e+01   8.461538e+01   7.554945e+01
hedonicreactivity   107   control   second   4    Empty   2   2.802198e+01   4.093407e+01   3.626374e+01
